reg_gtap_number,reg_iso3,reg_gtap_code,reg_gtap_name,country_gtap_name
1,AUS,AUS,Australia,Australia
1,CXR,AUS,Australia,Christmas Island
1,CCK,AUS,Australia,Cocos (Keeling) Islands
1,HMD,AUS,Australia,Heard Island and McDonald Islands
1,NFK,AUS,Australia,Norfolk Island
2,NZL,NZL,New Zealand,New Zealand
3,ASM,XOC,Rest of Oceania,American Samoa
3,COK,XOC,Rest of Oceania,Cook Islands
3,FJI,XOC,Rest of Oceania,Fiji
3,PYF,XOC,Rest of Oceania,French Polynesia
3,GUM,XOC,Rest of Oceania,Guam
3,KIR,XOC,Rest of Oceania,Kiribati
3,MHL,XOC,Rest of Oceania,Marshall Islands
3,FSM,XOC,Rest of Oceania,Micronesia (Federated States of)
3,NRU,XOC,Rest of Oceania,Nauru
3,NCL,XOC,Rest of Oceania,New Caledonia
3,NIU,XOC,Rest of Oceania,Niue
3,MNP,XOC,Rest of Oceania,Northern Mariana Islands
3,PLW,XOC,Rest of Oceania,Palau
3,PNG,XOC,Rest of Oceania,Papua New Guinea
3,PCN,XOC,Rest of Oceania,Pitcairn
3,WSM,XOC,Rest of Oceania,Samoa
3,SLB,XOC,Rest of Oceania,Solomon Islands
3,TKL,XOC,Rest of Oceania,Tokelau
3,TON,XOC,Rest of Oceania,Tonga
3,TUV,XOC,Rest of Oceania,Tuvalu
3,UMI,XOC,Rest of Oceania,United States Minor Outlying Islands
3,VUT,XOC,Rest of Oceania,Vanuatu
3,WLF,XOC,Rest of Oceania,Wallis and Futuna Islands
4,CHN,CHN,China,China
5,HKG,HKG,"Hong Kong, Special Administrative Region of China","Hong Kong, Special Administrative Region of China"
6,JPN,JPN,Japan,Japan
7,KOR,KOR,"Korea, Republic of","Korea, Republic of"
8,MNG,MNG,Mongolia,Mongolia
9,TWN,TWN,Taiwan,Taiwan
10,MAC,XEA,Rest of East Asia,"China, Macao Special Administrative Region"
10,PRK,XEA,Rest of East Asia,Democratic People's Republic of Korea
11,BRN,BRN,Brunei Darussalam,Brunei Darussalam
12,KHM,KHM,Cambodia,Cambodia
13,IDN,IDN,Indonesia,Indonesia
14,LAO,LAO,Lao PDR,Lao PDR
15,MYS,MYS,Malaysia,Malaysia
16,PHL,PHL,Philippines,Philippines
17,SGP,SGP,Singapore,Singapore
18,THA,THA,Thailand,Thailand
19,VNM,VNM,Viet Nam,Viet Nam
20,MMR,XSE,Rest of Southeast Asia,Myanmar
20,TLS,XSE,Rest of Southeast Asia,Timor-Leste
21,AFG,AFG,Afghanistan,Afghanistan
22,BGD,BGD,Bangladesh,Bangladesh
23,IND,IND,India,India
24,NPL,NPL,Nepal,Nepal
25,PAK,PAK,Pakistan,Pakistan
26,LKA,LKA,Sri Lanka,Sri Lanka
27,BTN,XSA,Rest of South Asia,Bhutan
27,MDV,XSA,Rest of South Asia,Maldives
28,CAN,CAN,Canada,Canada
29,USA,USA,United States of America,United States of America
30,MEX,MEX,Mexico,Mexico
31,BMU,XNA,Rest of North America,Bermuda
31,GRL,XNA,Rest of North America,Greenland
31,SPM,XNA,Rest of North America,Saint Pierre and Miquelon
32,ARG,ARG,Argentina,Argentina
33,BOL,BOL,Bolivia,Bolivia
34,BRA,BRA,Brazil,Brazil
35,CHL,CHL,Chile,Chile
36,COL,COL,Colombia,Colombia
37,ECU,ECU,Ecuador,Ecuador
38,PRY,PRY,Paraguay,Paraguay
39,PER,PER,Peru,Peru
40,URY,URY,Uruguay,Uruguay
41,VEN,VEN,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of)
42,FLK,XSM,Rest of South America,Falkland Islands (Malvinas)
42,GUF,XSM,Rest of South America,French Guiana
42,GUY,XSM,Rest of South America,Guyana
42,SGS,XSM,Rest of South America,South Georgia and the South Sandwich Islands
42,SUR,XSM,Rest of South America,Suriname
43,CRI,CRI,Costa Rica,Costa Rica
44,GTM,GTM,Guatemala,Guatemala
45,HND,HND,Honduras,Honduras
46,NIC,NIC,Nicaragua,Nicaragua
47,PAN,PAN,Panama,Panama
48,SLV,SLV,El Salvador,El Salvador
49,BLZ,XCA,Rest of Central America,Belize
50,DOM,DOM,Dominican Republic,Dominican Republic
51,HTI,HTI,Haiti,Haiti
52,JAM,JAM,Jamaica,Jamaica
53,PRI,PRI,Puerto Rico,Puerto Rico
54,TTO,TTO,Trinidad and Tobago,Trinidad and Tobago
55,AIA,XCB,Rest of Caribbean,Anguilla
55,ATG,XCB,Rest of Caribbean,Antigua and Barbuda
55,ABW,XCB,Rest of Caribbean,Aruba
55,BHS,XCB,Rest of Caribbean,Bahamas
55,BRB,XCB,Rest of Caribbean,Barbados
55,BES,XCB,Rest of Caribbean,"Bonaire, Sint Eustatius and Saba"
55,VGB,XCB,Rest of Caribbean,British Virgin Islands
55,CYM,XCB,Rest of Caribbean,Cayman Islands
55,CUB,XCB,Rest of Caribbean,Cuba
55,CUW,XCB,Rest of Caribbean,Curaçao
55,DMA,XCB,Rest of Caribbean,Dominica
55,GRD,XCB,Rest of Caribbean,Grenada
55,MSR,XCB,Rest of Caribbean,Montserrat
55,BLM,XCB,Rest of Caribbean,Saint Barthélemy
55,KNA,XCB,Rest of Caribbean,Saint Kitts and Nevis
55,LCA,XCB,Rest of Caribbean,Saint Lucia
55,MAF,XCB,Rest of Caribbean,Saint Martin (French Part)
55,VCT,XCB,Rest of Caribbean,Saint Vincent and the Grenadines
55,SXM,XCB,Rest of Caribbean,Sint Maarten (Dutch part)
55,TCA,XCB,Rest of Caribbean,Turks and Caicos Islands
55,VIR,XCB,Rest of Caribbean,United States Virgin Islands
56,AUT,AUT,Austria,Austria
57,BEL,BEL,Belgium,Belgium
